"gap","capability","disposition","issue","title","scope_reason","code_evidence"
"activated_grant","activated_grant","deferred","","activated grant","Scoped ability grants to Food/Cave cohorts need a separate layer and mana-ability audit.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"activation_convoke","activation_convoke","deferred","","activation convoke","Mixed tap-or-mana activation payment needs payment-contract review; spell Convoke alone is insufficient.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"animation","animation","deferred","","animation","One-shot or indefinite characteristic changes need a separate publication and physical-identity audit; completed #113 covers attached modifiers, not every animation.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"attachment_action","attachment_action","existing_dependency","155","Attachment entry and source-relative zone actions","Reuse live issue ownership; broader new instances still need their exact scope checked.","tricerules/tricerules-cards/src/primitives/effects.rs"
"blink","blink","deferred","","blink","Immediate/delayed exile-return changes physical identity and zone synchronization; outside no-UI scope.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"case","case","deferred","","case","Solved designation, abilities and visible characteristics need a cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"cast_prohibition","cast_prohibition","deferred","","cast prohibition","Casting prohibition has only one sampled multi-gap consumer; defer a bounded rules/legality design.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"cast_provenance","cast_provenance","deferred","","cast provenance","Entry replacement needs no-cast/no-mana provenance beyond automatic public-condition snapshots.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"cast_snapshot","cast_snapshot","new_engine","173","Engine: automatic cast-completion condition snapshots","Automatic server-side state only. Existing CastSpell input, targets, costs and damage/pump events are unchanged; no new user choice or wire receipt.","tricerules/tricerules-cards/src/primitives/costs.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/casting.rs;tricerules/tricerules-core/src/state.rs"
"chosen_color","chosen_color","deferred","","chosen color","Persistent entry choice and chosen-color mana requires a player choice and state contract.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
