"sample_id","stratum","stratum_rank","selection_hash","oracle_id","name","mana_cost","type_line","oracle_text","keywords","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","scryfall_uri"
"1","FDN","1","0265db2856d4c9872c8c9f36d2ca654a77f6a1e72f6ba527fa5b24dec5d0c063","6a92b011-fd01-4b6a-a17c-73ac1967ff98","Axgard Cavalry","{1}{R}","Creature — Dwarf Berserker","{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.)","","full_now","activated_creatures","data","","","All functional Oracle clauses compose from the current activated creatures vocabulary.","https://scryfall.com/card/fdn/189/axgard-cavalry?utm_source=api"
"2","FDN","2","0923d06e833637bba4b4c9b9c4dd6e0fb6d5cf91617fcd2600fdbaa212006647","645ab3c7-ee1d-4dd0-811f-2dc7f7c7e792","Grow from the Ashes","{2}{G}","Sorcery","Kicker {2} (You may pay an additional {2} as you cast this spell.)
Search your library for a basic land card, put it onto the battlefield, then shuffle. If this spell was kicked, instead search your library for two basic land cards, put them onto the battlefield, then shuffle.","Kicker","partial_now","","system","kicker_cast_option","","The ordinary one-land search is supported, but kicker and the paid two-land branch are not.","https://scryfall.com/card/fdn/225/grow-from-the-ashes?utm_source=api"
"3","FDN","3","0ae85f5a48ab1f386194199b3fc368fdc81a76b759d737ba7b88a2d2374993ac","4c22257e-8a00-40b7-a29b-55fcec7ddbd4","Crypt Feaster","{3}{B}","Creature — Zombie","Menace (This creature can't be blocked except by two or more creatures.)
Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn.","Threshold; Menace","blocked","","primitive","graveyard_card_count_condition","","The attack trigger and pump exist, but threshold cannot test the number of cards in the controller graveyard.","https://scryfall.com/card/fdn/59/crypt-feaster?utm_source=api"
"4","FDN","4","0af730ca8ad06bec3cdd1c01dfdabd07021dba40e53c90ddd525d9c8c8f634f8","d37f858e-03c8-4594-9b92-cd03699a1591","Scoured Barrens","","Land","This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {W} or {B}.","","full_now","mana_permanents","data","","","All functional Oracle clauses compose from the current mana permanents vocabulary.","https://scryfall.com/card/fdn/266/scoured-barrens?utm_source=api"
"5","FDN","5","0c35906f745716f5e386d49851393b50ffcc3eff4427cacead97b04d65f7e86b","b81a748b-f7a6-4ec4-8b18-40a1819745f6","Sanguine Syphoner","{1}{B}","Creature — Vampire Warlock","Whenever this creature attacks, each opponent loses 1 life and you gain 1 life.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/68/sanguine-syphoner?utm_source=api"
"6","FDN","6","1506e212b8d06028e2764c4487af9c1f273d6325630203f4621d51e1f229d1b8","4a7a55a3-568c-4c31-9460-5b94dc0121d8","Hungry Ghoul","{1}{B}","Creature — Zombie","{1}, Sacrifice another creature: Put a +1/+1 counter on this creature.","","blocked","","primitive","sacrifice_cost_exclude_source","","Composite activated costs exist, but a sacrifice cost cannot require another creature and exclude its source.","https://scryfall.com/card/fdn/62/hungry-ghoul?utm_source=api"
"7","FDN","7","16df50e7cb6ec226b43d1323d506cdae1f479bba0ae8be897bc0d6758c38a059","95efbb81-2418-42ed-ae34-5759efff8253","Inspiring Paladin","{2}{W}","Creature — Human Knight","During your turn, this creature has first strike. (It deals combat damage before creatures without first strike.)
During your turn, creatures you control with +1/+1 counters on them have first strike.","","partial_now","","primitive","conditional_static_scope","","The self first-strike clause is supported, but a turn-conditioned counter-bearing creature cohort is not.","https://scryfall.com/card/fdn/18/inspiring-paladin?utm_source=api"
"8","FDN","8","1a896a931741e9bb381440dabfd7cfb95550f04cccb6574b458dc32538e2e30b","2f807301-37df-4724-871a-08e3512b07b3","Burglar Rat","{1}{B}","Creature — Rat","When this creature enters, each opponent discards a card.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/170/burglar-rat?utm_source=api"
"9","FDN","9","1ccc617e54bf4dd15a459cedf101214bfb70dee42b5ee2a0b185e11c6e6b52ad","79cd09e8-d738-47c0-9473-b6281bec6935","Goblin Surprise","{2}{R}","Instant","Choose one —
• Creatures you control get +2/+0 until end of turn.
• Create two 1/1 red Goblin creature tokens.","","full_now","modal_spells","data","","","All functional Oracle clauses compose from the current modal spells vocabulary.","https://scryfall.com/card/fdn/200/goblin-surprise?utm_source=api"
"10","FDN","10","22558f2d8d0e382e73a87cbf1da0cb166ea524dbed72165bb87aa61c52ef156a","a90d1d35-6d67-43b3-8256-b0318b3a4b07","Prideful Parent","{2}{W}","Creature — Cat","Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, create a 1/1 white Cat creature token.","Vigilance","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/21/prideful-parent?utm_source=api"
"11","FDN","11","26102490d566da3a6fbd2a36c0e52642b65deb2c09aa9d3260803335fab51059","6a381121-9134-489c-8c7e-44be1936b0e2","Apothecary Stomper","{4}{G}{G}","Creature — Elephant","Vigilance (Attacking doesn't cause this creature to tap.)
When this creature enters, choose one —
• Put two +1/+1 counters on target creature you control.
• You gain 4 life.","Vigilance","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/99/apothecary-stomper?utm_source=api"
