"gap","capability","disposition","issue","title","scope_reason","code_evidence"
"activation_discard_relation","activation discard relation","deferred","","activation discard relation","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"amass","amass","new_engine","186","Reusable Amass action with Army choice and subtype addition","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #186.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"animation","animation","new_engine","187","One-shot base power/toughness setters with source-relative values","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #187.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"artifact_copy","artifact copy","deferred","","artifact copy","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"attachment_action","attachment action","new_engine","188","Attach a chosen Equipment to a chosen creature","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #188.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"blink","blink","deferred","","blink","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"cards_left_graveyard_turn_condition","cards left graveyard turn condition","deferred","","cards left graveyard turn condition","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"cast_targets_creature_trigger","cast targets creature trigger","new_engine","191","Spell-cast triggers filtered by whether the spell targets a creature","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #191.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"combat_damage_any_recipient","combat damage any recipient","deferred","","combat damage any recipient","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"composite_mana_ability","composite mana ability","deferred","","composite mana ability","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"conditional_target_result","conditional target result","deferred","","conditional target result","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"conditional_untap_story","conditional untap story","deferred","","conditional untap story","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"control_until_next_turn","control until next turn","deferred","","control until next turn","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
