"sample_id","stratum","stratum_rank","selection_hash","oracle_id","scryfall_id","name","mana_cost","type_line","oracle_text","keywords","layout","power","toughness","faces_json","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","code_evidence","scryfall_uri","rulings_uri"
"1","BRO-common","1","02c6faa0c821a50749d3108183ab91f73c718d4c6ad7e2658ffd06e748d719c9","cd583365-27cc-4170-b138-4b3dd0d842b6","cfa00c0e-163d-4f59-b8b9-3ee9143d27bb","Ambush Paratrooper","{1}{W}","Creature — Human Soldier","Flash
Flying
{5}: Creatures you control get +1/+1 until end of turn.","Flying; Flash","normal","1","2","[]","full_now","composable_ron","Data","","","Flash/flying and fixed mass-pump activation.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/3/ambush-paratrooper?utm_source=api","https://api.scryfall.com/cards/cfa00c0e-163d-4f59-b8b9-3ee9143d27bb/rulings"
"2","BRO-common","2","0580c020662708a64136a1495179cb43a592876913b1a750a470b31c29bcc464","3808afb9-962f-48ba-94c5-6b3eae7053d0","c8e133a2-631f-43f6-9fdd-e542d4d15e10","Dredging Claw","{2}","Artifact — Equipment","Equipped creature gets +1/+0 and has menace. (It can't be blocked except by two or more creatures.)
Whenever a creature enters from your graveyard, you may attach this Equipment to it.
Equip {1}{B} ({1}{B}: Attach to target creature you control. Equip only as a sorcery.)","Equip","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","attachment_action","zone_observer","Equipment modifiers work; graveyard-origin entry watcher and untargeted attach do not.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/mod.rs;tricerules/tricerules-core/src/engine/triggers.rs","https://scryfall.com/card/bro/119/dredging-claw?utm_source=api","https://api.scryfall.com/cards/c8e133a2-631f-43f6-9fdd-e542d4d15e10/rulings"
"3","BRO-common","3","0770031684ed6a62f56053facc2ce51cfaba5c5857e94d5d647b499b713cd469","552867ec-5741-4e34-813f-4aaf185661f7","e28de770-7975-4aa9-b656-e7dbe6bff290","Scrapwork Rager","{4}","Artifact Creature — Phyrexian Horror","When this creature enters, you draw a card and you lose 1 life.
Unearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)","Unearth","normal","2","2","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","unearth","","ETB draw/life loss works; Unearth lifecycle absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/123/scrapwork-rager?utm_source=api","https://api.scryfall.com/cards/e28de770-7975-4aa9-b656-e7dbe6bff290/rulings"
"4","BRO-common","4","07e55987489bf14576d08679844115950eaa591293fda51a4d7e9eab26eee9d1","cb690399-0fb8-4bd8-a73d-5e0e594ff2ae","4dc2da75-160d-47f9-b978-e153262ec1fc","Fallaji Chaindancer","{3}{R}","Creature — Human Soldier","{2}: This creature gains double strike until end of turn.","","normal","2","4","[]","full_now","composable_ron","Data","","","Fixed mana activation grants double strike to source.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/134/fallaji-chaindancer?utm_source=api","https://api.scryfall.com/cards/4dc2da75-160d-47f9-b978-e153262ec1fc/rulings"
"5","BRO-common","5","0a5a0c87159da4a2e63fa295a9fb2d3512babe0489c6c0fff47843081bde2e2b","e3bad2e2-1024-4261-b3d7-82a6998416fd","fcc65821-e4e7-471c-941c-9d3e25ae8bb9","Aeronaut's Wings","{2}","Artifact — Equipment","Equipped creature gets +1/+0 and has flying.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)","Equip","normal","","","[]","full_now","composable_ron","Data","","","AttachedModifier plus ordinary Equip.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/231/aeronauts-wings?utm_source=api","https://api.scryfall.com/cards/fcc65821-e4e7-471c-941c-9d3e25ae8bb9/rulings"
"6","BRO-common","6","0cd6c58fd9dea5cfb44796c67a124882207b1350ede3ca1b7ad88352903d0644","2625fa9c-638c-46d3-966b-1166f440186f","0ba00d0f-0ea5-417c-a792-06b3b9d1c8f1","Goblin Firebomb","{1}","Artifact","Flash
{7}, {T}, Sacrifice this artifact: Destroy target permanent.","Flash","normal","","","[]","full_now","composable_ron","Data","","","Flash artifact with mana/tap/sacrifice-self cost and permanent destruction.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/235/goblin-firebomb?utm_source=api","https://api.scryfall.com/cards/0ba00d0f-0ea5-417c-a792-06b3b9d1c8f1/rulings"
"7","BRO-common","7","0da9872b03d195238ea353c89d97e3b989d16946942718c5781b39cd1b8b68d1","ede2354a-64b0-402c-8fbe-9da90f811a9b","87c71fb1-a30b-4e0e-a6d6-4656cfff2da1","Mishra's Domination","{1}{R}","Enchantment — Aura","Enchant creature
As long as you control enchanted creature, it gets +2/+2. Otherwise, it can't block.","Enchant","normal","","","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","object_condition","","Attached modifier lacks source-versus-attached controller comparison.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/142/mishras-domination?utm_source=api","https://api.scryfall.com/cards/87c71fb1-a30b-4e0e-a6d6-4656cfff2da1/rulings"
"8","BRO-common","8","0f52ebc8b156b3c2d0ad4c1e37aea9d969d6b97b1654889c19d3c4945b763e3b","0d5a1870-6d26-47e7-a86c-f3ff15cb0707","a1e088de-e99f-4706-89e0-a7efdaf9403a","Lat-Nam Adept","{3}{U}","Creature — Human Wizard","Whenever you draw your second card each turn, put a +1/+1 counter on this creature.","","normal","3","3","[]","full_now","composable_ron","Data","","","Draw-second-card trigger and source counter placement.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/56/lat-nam-adept?utm_source=api","https://api.scryfall.com/cards/a1e088de-e99f-4706-89e0-a7efdaf9403a/rulings"
"9","BRO-common","9","112cffdc2b4e096624bf195a291d929772a92f453c00b21a6c5504bf28e23697","c183186b-d92c-45a2-92d1-42e0df2b441f","fc295bac-5031-46c8-8d9a-368656bcf6d3","Clay Revenant","{1}","Artifact Creature — Golem","This creature enters tapped.
{2}{B}: Return this card from your graveyard to your hand.","","normal","1","2","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","attachment_action","","Tapped entry works; graveyard-source return-to-hand is missing.","tricerules/tricerules-cards/src/primitives/effects.rs","https://scryfall.com/card/bro/118/clay-revenant?utm_source=api","https://api.scryfall.com/cards/fc295bac-5031-46c8-8d9a-368656bcf6d3/rulings"
"10","BRO-common","10","119ad7ad2a199d4bb74df82854af3cda4058a0e9512362ae5f1968b07604cd71","a7e97fa9-4b72-4548-b854-5be5f18a6f1a","658c5caa-d739-4d30-a512-43ac4de900cb","Disenchant","{1}{W}","Instant","Destroy target artifact or enchantment.","","normal","","","[]","full_now","composable_ron","Data","","","Artifact-or-enchantment target disjunction and Destroy.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/6/disenchant?utm_source=api","https://api.scryfall.com/cards/658c5caa-d739-4d30-a512-43ac4de900cb/rulings"
"11","BRO-common","11","1239bc6d440adbd76aa16aa07b606b8b0a11811801c985abba56437cd55fb57a","a91f93fd-e428-4a36-b1b3-604b47a34287","23d4b90c-95b1-4828-bc08-7067da0d5364","Tocasia's Dig Site","","Land","{T}: Add {C}.
{3}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Surveil","normal","","","[]","full_now","composable_ron","Data","","","Colorless mana and activated LibraryPartition Surveil.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/266/tocasias-dig-site?utm_source=api","https://api.scryfall.com/cards/23d4b90c-95b1-4828-bc08-7067da0d5364/rulings"
"12","BRO-common","12","1278b2b73a20c363343d3dcf47075420ff8b9b32f8cecc672011655ef15bf0a7","b7618312-6835-4851-9651-b5402001b3b0","d5ae38a2-2f95-4750-9b59-53eb1771e5ab","Swiftgear Drake","{5}","Artifact Creature — Drake","Flying, haste
When this creature enters, put up to one target card from a graveyard on the bottom of its owner's library.","Flying; Haste","normal","2","4","[]","full_now","composable_ron","Data","","","Optional any-graveyard target and owner-library bottom destination.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/251/swiftgear-drake?utm_source=api","https://api.scryfall.com/cards/d5ae38a2-2f95-4750-9b59-53eb1771e5ab/rulings"
"13","BRO-common","13","16aab43f18d84e08ef23e201a6f937d2614f3e6b7198bd9124298df229b6e7ef","04e5ecda-9646-4bc3-addf-cca471553fbe","6759acb8-82c0-479f-86f3-f22ca7a2006c","Carrion Locust","{2}{B}","Creature — Insect Horror","Flying
When this creature enters, exile target card from an opponent's graveyard. If it was a creature card, that player loses 1 life.","Flying","normal","2","1","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","target_predicate","result_continuation","Flying works; opponent graveyard filter and exiled-card branch/recipient need expansion.","tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs;tricerules/tricerules-core/src/engine/legal_actions.rs;tricerules/tricerules-core/src/engine/targeting.rs","https://scryfall.com/card/bro/87/carrion-locust?utm_source=api","https://api.scryfall.com/cards/6759acb8-82c0-479f-86f3-f22ca7a2006c/rulings"
"14","BRO-common","14","1862f9f4df92e772ed21bb90bb0de41d229b011cb2d62f18ff403a90bed50228","ce291948-125d-493d-8770-8b3aac515f9b","a842a945-21d9-432c-b970-6da65b16f309","Citanul Stalwart","{G}","Creature — Elf Druid Soldier","{T}, Tap an untapped artifact or creature you control: Add one mana of any color.","","normal","1","1","[]","full_now","composable_ron","Data","","","Tap plus TapPermanents union cost and five mana options.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/175/citanul-stalwart?utm_source=api","https://api.scryfall.com/cards/a842a945-21d9-432c-b970-6da65b16f309/rulings"
"15","BRO-common","15","19b9c8c4af3534e4cb9bfab26021a2d4868974af506d3a843d6031eacee9397f","2497926c-b253-4400-b540-776ee2cd807c","c94a3317-7d1f-4f29-8353-180f1ab48d18","Gixian Infiltrator","{1}{B}","Creature — Phyrexian Human","Whenever you sacrifice another permanent, put a +1/+1 counter on this creature.","","normal","2","1","[]","full_now","composable_ron","Data","","","Sacrifice observer excludes source; source counter effect.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/98/gixian-infiltrator?utm_source=api","https://api.scryfall.com/cards/c94a3317-7d1f-4f29-8353-180f1ab48d18/rulings"
"16","BRO-common","16","1d3d8c7eb771ed706de6785897dc00e4b3f1e4f538f99c1125bb27076cd95543","cc9d3868-9814-4506-80b3-660bc462ff98","b22586ce-efcc-4b20-83f9-c23b8eeaa88c","Argothian Opportunist","{2}{G}","Creature — Human Scout","When this creature enters, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")","","normal","3","2","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","powerstone_mana","","Tapped tokens exist; exact Powerstone spending permission is not expressible.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/167/argothian-opportunist?utm_source=api","https://api.scryfall.com/cards/b22586ce-efcc-4b20-83f9-c23b8eeaa88c/rulings"
"17","BRO-common","17","1d8d4b996fd35954315003e321507553ecd2668b9013fcf5ddc926ef68d1f5b8","5fc09704-56cf-4e47-bd96-27ac34434941","6559afec-6bb8-4501-8805-4eb108443048","Hoarding Recluse","{3}{G}","Creature — Spider","Reach, deathtouch
When this creature dies, put up to one other target card from a graveyard on the bottom of its owner's library.","Reach; Deathtouch","normal","2","3","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","target_predicate","","Reach/deathtouch work; graveyard target cannot exclude the dying source.","tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs;tricerules/tricerules-core/src/engine/legal_actions.rs;tricerules/tricerules-core/src/engine/targeting.rs","https://scryfall.com/card/bro/186/hoarding-recluse?utm_source=api","https://api.scryfall.com/cards/6559afec-6bb8-4501-8805-4eb108443048/rulings"
